Freq.	V(vout)
3.98107170553497e+000	(-6.86313508058333e+001dB,1.06330478296888e+000°)
5.01187233627272e+000	(-6.86304675299483e+001dB,1.33853066698232e+000°)
6.30957344480194e+000	(-6.86290712003178e+001dB,1.68493035010500e+000°)
7.94328234724282e+000	(-6.86268836875450e+001dB,2.12084839501513e+000°)
1.00000000000000e+001	(-6.86233880655204e+001dB,2.66926752779785e+000°)
1.25892541179417e+001	(-6.86178730204212e+001dB,3.35898168416726e+000°)
1.58489319246111e+001	(-6.86091400525237e+001dB,4.22587428738605e+000°)
1.99526231496888e+001	(-6.85953183844269e+001dB,5.31440741987679e+000°)
2.51188643150958e+001	(-6.85735340630043e+001dB,6.67922826819732e+000°)
3.16227766016838e+001	(-6.85392169183267e+001dB,8.38645953953422e+000°)
3.98107170553498e+001	(-6.84853825711514e+001dB,1.05141760984950e+001°)
5.01187233627273e+001	(-6.84013737603377e+001dB,1.31508682565204e+001°)
6.30957344480194e+001	(-6.82715028930942e+001dB,1.63900337255266e+001°)
7.94328234724283e+001	(-6.80733058428121e+001dB,2.03175402411181e+001°)
1.00000000000000e+002	(-6.77766156428409e+001dB,2.49892648369701e+001°)
1.25892541179417e+002	(-6.73443402668697e+001dB,3.03984812688505e+001°)
1.58489319246112e+002	(-6.67367573242305e+001dB,3.64408023707588e+001°)
1.99526231496888e+002	(-6.59199952280173e+001dB,4.28967125296229e+001°)
2.51188643150958e+002	(-6.48761023368109e+001dB,4.94539014951524e+001°)
3.16227766016838e+002	(-6.36095023907347e+001dB,5.57744715287019e+001°)
3.98107170553498e+002	(-6.21453606148166e+001dB,6.15753745835801e+001°)
5.01187233627273e+002	(-6.05210033040636e+001dB,6.66800638123570e+001°)
6.30957344480194e+002	(-5.87759225164758e+001dB,7.10237453060143e+001°)
7.94328234724283e+002	(-5.69448458625903e+001dB,7.46258994847347e+001°)
1.00000000000000e+003	(-5.50549530071211e+001dB,7.75544531173014e+001°)
1.25892541179417e+003	(-5.31259554034837e+001dB,7.98965715746480e+001°)
1.58489319246112e+003	(-5.11714636096689e+001dB,8.17401209854591e+001°)
1.99526231496888e+003	(-4.92005905845683e+001dB,8.31639939901914e+001°)
2.51188643150959e+003	(-4.72193336878188e+001dB,8.42340891764401e+001°)
3.16227766016839e+003	(-4.52316214574158e+001dB,8.50023435102481e+001°)
3.98107170553498e+003	(-4.32400587873711e+001dB,8.55071388632869e+001°)
5.01187233627273e+003	(-4.12464475150816e+001dB,8.57741370653452e+001°)
6.30957344480195e+003	(-3.92521580165287e+001dB,8.58170559067547e+001°)
7.94328234724283e+003	(-3.72584172636922e+001dB,8.56381554234540e+001°)
1.00000000000000e+004	(-3.52665684452999e+001dB,8.52283458376049e+001°)
1.25892541179417e+004	(-3.32783537240992e+001dB,8.45669169170518e+001°)
1.58489319246112e+004	(-3.12962749639242e+001dB,8.36209749907996e+001°)
1.99526231496889e+004	(-2.93240963201459e+001dB,8.23448070859417e+001°)
2.51188643150959e+004	(-2.73675654717245e+001dB,8.06796343138193e+001°)
3.16227766016839e+004	(-2.54354333167823e+001dB,7.85546519856754e+001°)
3.98107170553498e+004	(-2.35408188823217e+001dB,7.58909640044203e+001°)
5.01187233627274e+004	(-2.17028378869808e+001dB,7.26109755306940e+001°)
6.30957344480195e+004	(-1.99480988772575e+001dB,6.86565644886319e+001°)
7.94328234724284e+004	(-1.83111091819450e+001dB,6.40185124376757e+001°)
1.00000000000000e+005	(-1.68320134525143e+001dB,5.87747372994260e+001°)
1.25892541179417e+005	(-1.55501765581780e+001dB,5.31244895750489e+001°)
1.58489319246112e+005	(-1.44940090095506e+001dB,4.73957845792185e+001°)
1.99526231496889e+005	(-1.36707204831705e+001dB,4.20092117156333e+001°)
2.51188643150959e+005	(-1.30609222284994e+001dB,3.74090012127892e+001°)
3.16227766016839e+005	(-1.26193155833425e+001dB,3.39953957731703e+001°)
3.98107170553499e+005	(-1.22777930506242e+001dB,3.20786371992373e+001°)
5.01187233627274e+005	(-1.19476473933850e+001dB,3.18411249286313e+001°)
6.30957344480196e+005	(-1.15223568161841e+001dB,3.32899406809084e+001°)
7.94328234724285e+005	(-1.08836740737676e+001dB,3.62153728454899e+001°)
1.00000000000000e+006	(-9.90754986237177e+000dB,4.01940974487593e+001°)
1.25892541179417e+006	(-8.45711463809141e+000dB,4.46525728396233e+001°)
1.58489319246112e+006	(-6.33738934256594e+000dB,4.89578491140262e+001°)
1.99526231496889e+006	(-3.13666823674163e+000dB,5.24431337509231e+001°)
2.51188643150959e+006	(2.48812989946098e+000dB,5.39321982152857e+001°)
3.16227766016839e+006	(2.55823892344914e+001dB,-6.45767594125402e-001°)
3.98107170553499e+006	(2.51695738310992e+000dB,-1.16327991515243e+002°)
5.01187233627275e+006	(-4.08472794088706e+000dB,-1.18786422346331e+002°)
6.30957344480196e+006	(-8.23719461411998e+000dB,-1.21418398845212e+002°)
7.94328234724285e+006	(-1.15162378524217e+001dB,-1.25214327085251e+002°)
1.00000000000000e+007	(-1.44274294653225e+001dB,-1.30389923309554e+002°)
