Freq.	V(vout)
5.01187233627274e+005	(-2.80899566437793e+000dB,-9.38508819113206e+001°)
6.30957344480196e+005	(-5.32372942387355e+000dB,-9.84770628837608e+001°)
7.94328234724285e+005	(-7.91031178956668e+000dB,-1.01674253877457e+002°)
1.00000000000000e+006	(-1.04914975194183e+001dB,-1.03596075147838e+002°)
1.25892541179417e+006	(-1.30078881415869e+001dB,-1.04587433021805e+002°)
1.58489319246112e+006	(-1.54291758525981e+001dB,-1.05087534653979e+002°)
1.99526231496889e+006	(-1.77530839571967e+001dB,-1.05520361304925e+002°)
2.51188643150959e+006	(-1.99959554673450e+001dB,-1.06229729320518e+002°)
3.16227766016839e+006	(-2.21829720271339e+001dB,-1.07440079686558e+002°)
3.98107170553499e+006	(-2.43376306116006e+001dB,-1.09437571306461e+002°)
5.01187233627275e+006	(-2.64905887692473e+001dB,-1.12278860333975e+002°)
6.30957344480196e+006	(-2.86673525336214e+001dB,-1.16133938644032e+002°)
7.94328234724285e+006	(-3.08978800373802e+001dB,-1.21123485275063e+002°)
1.00000000000000e+007	(-3.32154775264262e+001dB,-1.27336479880804e+002°)
Step Information: Run=2  (Run: 2/2)
1.00000000000000e+000	(1.00760219977316e+001dB,-4.39640448674179e-004°)
1.25892541179417e+000	(1.00760219976149e+001dB,-5.53474532996846e-004°)
1.58489319246111e+000	(1.00760219974278e+001dB,-6.96783154417335e-004°)
1.99526231496888e+000	(1.00760219971324e+001dB,-8.77198019474750e-004°)
2.51188643150958e+000	(1.00760219966642e+001dB,-1.10432687793527e-003°)
3.16227766016838e+000	(1.00760219959214e+001dB,-1.39026516936960e-003°)
3.98107170553497e+000	(1.00760219947456e+001dB,-1.75024015082966e-003°)
5.01187233627272e+000	(1.00760219928820e+001dB,-2.20342180231142e-003°)
6.30957344480194e+000	(1.00760219899277e+001dB,-2.77394369950845e-003°)
7.94328234724282e+000	(1.00760219852462e+001dB,-3.49218821317872e-003°)
1.00000000000000e+001	(1.00760219778260e+001dB,-4.39640448232797e-003°)
1.25892541179417e+001	(1.00760219660640e+001dB,-5.53474531941554e-003°)
1.58489319246111e+001	(1.00760219474261e+001dB,-6.96783152146191e-003°)
1.99526231496888e+001	(1.00760219178821e+001dB,-8.77198015109882e-003°)
2.51188643150958e+001	(1.00760218710621e+001dB,-1.10432686927902e-002°)
3.16227766016838e+001	(1.00760217968587e+001dB,-1.39026515220409e-002°)
3.98107170553498e+001	(1.00760216792500e+001dB,-1.75024011636078e-002°)
5.01187233627273e+001	(1.00760214928550e+001dB,-2.20342173353187e-002°)
6.30957344480194e+001	(1.00760211974383e+001dB,-2.77394356147653e-002°)
7.94328234724283e+001	(1.00760207292322e+001dB,-3.49218793791001e-002°)
1.00000000000000e+002	(1.00760199871795e+001dB,-4.39640393313037e-002°)
1.25892541179417e+002	(1.00760188111041e+001dB,-5.53474422346112e-002°)
1.58489319246112e+002	(1.00760169471508e+001dB,-6.96782933630689e-002°)
1.99526231496888e+002	(1.00760139929846e+001dB,-8.77197578986025e-002°)
2.51188643150958e+002	(1.00760093109512e+001dB,-1.10432599900096e-001°)
3.16227766016838e+002	(1.00760018904374e+001dB,-1.39026341587530e-001°)
3.98107170553498e+002	(1.00759901297381e+001dB,-1.75023665193261e-001°)
5.01187233627273e+002	(1.00759714903423e+001dB,-2.20341482110397e-001°)
6.30957344480194e+002	(1.00759419490345e+001dB,-2.77392977001082e-001°)
7.94328234724283e+002	(1.00758951295761e+001dB,-3.49216042041310e-001°)
1.00000000000000e+003	(1.00758209266382e+001dB,-4.39634902907917e-001°)
1.25892541179417e+003	(1.00757033251745e+001dB,-5.53463467716773e-001°)
1.58489319246112e+003	(1.00755169451113e+001dB,-6.96761076740314e-001°)
1.99526231496888e+003	(1.00752215669239e+001dB,-8.77153970503315e-001°)
2.51188643150959e+003	(1.00747534599760e+001dB,-1.10423899373039e+000°)
3.16227766016839e+003	(1.00740116506950e+001dB,-1.39008983377921e+000°)
3.98107170553498e+003	(1.00728361887964e+001dB,-1.74989036172865e+000°)
5.01187233627273e+003	(1.00709737760766e+001dB,-2.20272404437956e+000°)
6.30957344480195e+003	(1.00680234784886e+001dB,-2.77255200437925e+000°)
7.94328234724283e+003	(1.00633511532157e+001dB,-3.48941304381171e+000°)
1.00000000000000e+004	(1.00559549933808e+001dB,-4.39087242843382e+000°)
1.25892541179417e+004	(1.00442553426631e+001dB,-5.52372361781925e+000°)
1.58489319246112e+004	(1.00257687951007e+001dB,-6.94589132106754e+000°)
1.99526231496889e+004	(9.99660945236745e+000dB,-8.72836375434828e+000°)
2.51188643150959e+004	(9.95074170439582e+000dB,-1.09567429226995e+001°)
3.16227766016839e+004	(9.87889917906559e+000dB,-1.37315640737786e+001°)
3.98107170553498e+004	(9.76711059590810e+000dB,-1.71658155054193e+001°)
5.01187233627274e+004	(9.59489238511551e+000dB,-2.13771097748398e+001°)
6.30957344480195e+004	(9.33347006267819e+000dB,-2.64711492466394e+001°)
7.94328234724284e+004	(8.94493636937496e+000dB,-3.25138634501510e+001°)
1.00000000000000e+005	(8.38385644581783e+000dB,-3.94943293706821e+001°)
1.25892541179417e+005	(7.60273096527755e+000dB,-4.72905973830408e+001°)
1.58489319246112e+005	(6.56086063307980e+000dB,-5.56598340768084e+001°)
1.99526231496889e+005	(5.23296374604937e+000dB,-6.42675230858915e+001°)
2.51188643150959e+005	(3.61290943201603e+000dB,-7.27421187650945e+001°)
3.16227766016839e+005	(1.71205167789109e+000dB,-8.07191993295443e+001°)
3.98107170553499e+005	(-4.42999780195977e-001dB,-8.78573459355934e+001°)
5.01187233627274e+005	(-2.80899566437793e+000dB,-9.38508819113206e+001°)
6.30957344480196e+005	(-5.32372942387355e+000dB,-9.84770628837608e+001°)
7.94328234724285e+005	(-7.91031178956668e+000dB,-1.01674253877457e+002°)
1.00000000000000e+006	(-1.04914975194183e+001dB,-1.03596075147838e+002°)
1.25892541179417e+006	(-1.30078881415869e+001dB,-1.04587433021805e+002°)
1.58489319246112e+006	(-1.54291758525981e+001dB,-1.05087534653979e+002°)
1.99526231496889e+006	(-1.77530839571967e+001dB,-1.05520361304925e+002°)
2.51188643150959e+006	(-1.99959554673450e+001dB,-1.06229729320518e+002°)
3.16227766016839e+006	(-2.21829720271339e+001dB,-1.07440079686558e+002°)
3.98107170553499e+006	(-2.43376306116006e+001dB,-1.09437571306461e+002°)
5.01187233627275e+006	(-2.64905887692473e+001dB,-1.12278860333975e+002°)
6.30957344480196e+006	(-2.86673525336214e+001dB,-1.16133938644032e+002°)
7.94328234724285e+006	(-3.08978800373802e+001dB,-1.21123485275063e+002°)
1.00000000000000e+007	(-3.32154775264262e+001dB,-1.27336479880804e+002°)
